,db,angle
131,13.43809492477016,0.05057527731444798
127,12.79151653299927,0.1180753128856115
124,11.744742341800658,0.16897586338855541
122,11.036915898946718,0.19310601495761334
120,10.062702055404014,0.20914822922895857
118,8.90152032288939,0.2371302956936612
110,0.7404997919176317,0.34766415880876966
106,-0.908639997394283,0.352139691489131
104,-1.8419141062838253,0.3547267154768497
108,0.2267496783351746,0.356924542561469
102,-2.9159395322487223,0.3599346151681805
100,-3.9598074786447186,0.37052121023147383
98,-4.97914833972897,0.3733093376361478
94,-5.922733693233279,0.37595792169706366
92,-6.955799440552227,0.37693618832466996
96,-4.520796160754397,0.5101511375237205
75,-11.97563554954785,0.6518714147809602
78,-10.690450556766013,0.6640650351993309
81,-9.664678779533652,0.7034018721350374
73,-12.801277535308,0.7168623664932461
82,-8.548266901685034,0.7517267499259302
70,-14.116581468327988,0.7687265437628377
62,-15.251171224582134,0.9917995567643592
69,-12.59380050946425,1.0128339405872078
64,-12.780538326283844,1.0927866176119692
61,-14.15895301405708,1.1194711242854136
58,-15.863679782599556,1.1201448532353815
55,-17.15773101264505,1.2324299046462375
53,-8.439634595680683,1.5879899535427102
52,-8.679476764940752,1.6638155516218562
50,-9.59974636207302,1.7279141790993493
48,-7.860933877211109,1.7967716110975644
46,-6.91103219015376,1.8513439601195205
45,-8.134278806853315,1.9350231972725134
42,-9.986643899654123,2.0120551470732058
40,-7.79585274040178,2.0578151358775587
37,-6.7246865419787545,2.0782957337983667
34,-5.678723939625235,2.11437993354431
30,-4.593115413138681,2.146569157449199
26,-3.616572551544893,2.176020456680636
24,-3.6933859683487897,2.251849801621952
21,-4.664479552811413,2.3260100594528956
13,-3.748008550147065,2.420057364286568
9,-3.1201785018626444,2.4445777050612283
5,-2.4017618882006855,2.4805538985530475
6,-3.8230553718660496,2.586637511500833
7,-4.729351347524982,2.622651166964719
11,-5.610286706384108,2.6526291349630458
17,-6.946610035432691,2.6921321488286445
18,-7.932389283445011,2.8511705334474864
4,-5.537637483771848,2.9997636481056884
2,-5.204952340519926,3.0443018297889215
0,-4.770629320348257,3.1406455792000068
1,-5.0468292664908425,3.242957992407959
3,-5.47910738836301,3.3051809290555805
10,-6.725033599645678,3.4636136458694327
16,-7.579453779055217,3.494153069205496
20,-8.272500693333212,3.5263047901635014
28,-9.968509897842326,3.5670147818727616
32,-10.885038586027294,3.5994305151155443
38,-12.80984674958712,3.6260069998824567
35,-11.274095963850177,3.68165014578226
27,-9.096024129978556,3.707606314783686
31,-10.15843283597162,3.7100575190042777
23,-7.88654933551824,3.715627438850596
19,-6.887556080224276,3.718858715206345
14,-5.638759664206679,3.7288478445118827
12,-3.9385402929760214,3.776650947944834
8,-3.109905561990368,3.8181331929509557
15,-3.57181231808058,3.8671377092867925
22,-4.812814476974949,3.965899823625627
25,-4.038714932190718,4.083808514665322
29,-4.472139674225401,4.136853662111883
33,-5.436628619871846,4.171737952634011
36,-6.414336537532649,4.204458048520581
39,-7.121003378809723,4.229856812145754
41,-8.634146080207342,4.284198337773705
43,-6.890969410602179,4.37744105866401
44,-6.4514525268366905,4.414185026551939
47,-6.498274340477871,4.479751434823249
49,-6.556562524441155,4.521128420632454
51,-8.341291573771601,4.616117689223577
54,-18.818293264092734,5.062782659185828
66,-11.345518413578075,5.123098027097914
59,-14.835280334840206,5.126070102067733
57,-15.828877057991276,5.138986807831198
56,-16.972072457218868,5.18122757017383
63,-13.962529670686157,5.251846985602115
67,-13.478160703300412,5.298278477478583
71,-12.531037822701592,5.312320091831965
60,-16.729092542278035,5.357216651033554
76,-10.618804723198805,5.490572278556074
79,-9.37202132522995,5.500338305284773
83,-7.817031043750724,5.519863681752299
88,-5.892542369679275,5.531614871146657
85,-6.7202453834815765,5.543453270567976
87,-5.90385188090568,5.568849450867737
72,-13.809272106277222,5.644815902807518
68,-15.0026932695419,5.648900003585164
74,-12.63705948886828,5.650146464308357
77,-11.487174408692113,5.657569504481682
80,-10.469203212679554,5.682330425418424
84,-9.471427863178327,5.705981321483687
86,-8.40304144198768,5.716891199086438
90,-6.387144356697797,5.734211435722329
89,-7.403315644833672,5.734738940441071
65,-16.35576662005962,5.757018297125515
99,-3.512700066683228,5.785943216733716
95,-5.05940404640424,5.852353511900972
91,-7.260719003351678,5.93260185852031
93,-6.238525383384933,5.949275939204378
101,-4.137343575515227,5.965260243434913
97,-5.3912837789305295,5.9654780675836365
103,-3.2454245754104596,5.978584648661688
105,-2.293187744277086,5.989364572796141
107,-1.328966040084078,5.9972483459629915
109,-0.36608765034039664,6.006575696565953
111,0.5716303738609692,6.010273684482711
112,1.5496943129392382,6.020072168585335
113,2.1800932433053184,6.028706231571781
114,3.6445656136617335,6.029039820600688
115,4.661363049794564,6.030772431151133
116,5.6169350702922625,6.037088496516306
117,6.331881978034462,6.0453581224061
119,9.392165209478314,6.082960717326317
121,10.269035998726944,6.107929126707531
123,11.18075432193779,6.131216541830376
126,12.637300227202141,6.19772758989252
129,13.057740675609498,6.224288767095478
132,13.367636704909566,6.2517784458733185
130,13.30900336645865,6.272605922654242
